site no.,EW coord,NS coord,precip,elev,age,geology
p1,614856.89,1031786.4,2993.199951,20,2,Tct
p2,613985.39,1030725.35,3072,100,3,Tc
p3,614674.34,1023801.51,3007.399902,180,1,Tc
p4,615018.57,1023547.89,2999.800049,180,1,Tc
p5,637157.81,1012427.87,2414.300049,40,2,Tgo
p6,637983.73,1012395.13,2393.699951,30,2,Tgo
p7,638143.98,1012885.56,2438.399902,60,1,Tgo
p8,637732.27,1013699.35,2455.5,50,3,pT
p9,638364.77,1013754.24,2889.300049,410,3,pT
p10,625401.78,1011039.31,2529.300049,90,3,Tcm
p11,623291.08,1011064.61,2515.5,60,3,Tcm
p12,628587.26,1014891.28,2496.800049,10,2,Tbo
p13,629528.93,1015836.24,2576.300049,55,2,Tcm
p14,625124.62,1012544.66,2534.699951,60,3,Tcm
p15,637861,1012976.03,2455,70,3,Tgo
p16,641463.92,1011327.96,2501.800049,160,3,pT
p17,641108.25,1011887.93,2470.600098,120,3,pT
p18,622784.71,1010902.86,2510.800049,58,2,Tcm
p19,634683,1017102,2687.699951,160,1,pT
p20,635754,1016123,2657.5,160,1,pT
p21,643560.09,1010755.01,2411.399902,110,1,Tgo
p22,643599.33,1011461.24,2513.699951,180,1,Tb
p23,645805.12,1008575.31,2247.5,30,2,Tlc
p24,645415.96,1008797.4,2279.800049,50,2,Tlc
p25,632002.57,1003751.3,2334.300049,110,2,pT
p26,633321.97,1003528.65,2251.899902,50,2,pT
p27,648907.02,1004027.47,2305.100098,180,1,Tl
p28,649196.44,1004697.46,2293.699951,160,1,Tl
p29,649677.75,993572.63,1968.5,100,1,Tb
p30,649221,994670,2096.300049,180,1,Tb
p31,637474.34,1034700.33,3291.699951,343,3,pT
p32,639831.7,1034474.8,3293.100098,363,3,pT
p33,647619.7,1038364.1,3615.300049,600,3,pT
p34,660392.9,1041453.1,3106.800049,210,3,pT
p35,656576.8,1045986.9,4001.699951,830,3,pT
p36,661790,1039037,3029.399902,200,3,pT
p37,688165,1030608.7,3133.899902,600,3,pT
p38,600713.5,962861.5,2517.399902,810,1,pT
p39,601167.4,966019.1,2400.5,660,1,pT
